# U eps
1.644183294837331388e-01 1.397989949748743715e-02
1.637014774207821710e-01 1.405360134003350026e-02
1.629723078751708076e-01 1.412730318257956336e-02
1.622309789023017590e-01 1.420100502512562646e-02
1.614776485575784570e-01 1.427470686767168956e-02
1.607124748964038896e-01 1.434840871021775439e-02
1.599356159741809891e-01 1.442211055276381923e-02
1.591472298463130763e-01 1.449581239530988233e-02
1.583474745682031948e-01 1.456951423785594543e-02
1.575365081952542212e-01 1.464321608040200853e-02
1.567144887828693656e-01 1.471691792294807163e-02
1.558815743864516712e-01 1.479061976549413647e-02
1.550379230614043480e-01 1.486432160804019957e-02
1.541836928631303838e-01 1.493802345058626441e-02
1.533190418470328775e-01 1.501172529313232751e-02
1.524441280685148725e-01 1.508542713567839061e-02
1.515591095829794677e-01 1.515912897822445371e-02
1.506641444458296508e-01 1.523283082077051681e-02
1.497593907124687984e-01 1.530653266331658165e-02
1.488450064382996207e-01 1.538023450586264475e-02
1.479211496787253832e-01 1.545393634840870958e-02
1.469879784891492958e-01 1.552763819095477268e-02
1.460456509249743462e-01 1.560134003350083579e-02
1.450943250416035224e-01 1.567504187604689889e-02
1.441341588944398122e-01 1.574874371859296546e-02
1.431653105388866476e-01 1.582244556113902856e-02
1.421879380303468499e-01 1.589614740368509166e-02
1.412021994242235179e-01 1.596984924623115476e-02
1.402082527759199171e-01 1.604355108877721786e-02
1.392062561408388133e-01 1.611725293132328096e-02
1.381963675743836384e-01 1.619095477386934406e-02
1.371787451319572693e-01 1.626465661641540716e-02
1.361535468689628603e-01 1.633835845896147027e-02
1.351209308408032883e-01 1.641206030150753684e-02
1.340810551028818187e-01 1.648576214405359994e-02
1.330340777106017169e-01 1.655946398659966304e-02
1.319801567193658043e-01 1.663316582914572614e-02
1.309194501845771241e-01 1.670686767169178924e-02
1.298521161616388309e-01 1.678056951423785581e-02
1.287783127059541899e-01 1.685427135678391891e-02
1.276981978729261336e-01 1.692797319932998201e-02
1.266119297179576497e-01 1.700167504187604511e-02
1.255196662964520038e-01 1.707537688442210821e-02
1.244215656638119477e-01 1.714907872696817132e-02
1.233177858754409412e-01 1.722278056951423442e-02
1.222084849867420414e-01 1.729648241206029752e-02
1.210938210531180420e-01 1.737018425460636409e-02
1.199739521299722361e-01 1.744388609715242719e-02
1.188490362727078337e-01 1.751758793969849029e-02
1.177192315367274894e-01 1.759128978224455339e-02
1.165846959774346631e-01 1.766499162479061649e-02
1.154455876502323980e-01 1.773869346733668306e-02
1.143020646105235155e-01 1.781239530988274616e-02
1.131542849137115309e-01 1.788609715242880926e-02
1.120024066151991543e-01 1.795979899497487237e-02
1.108465877703895958e-01 1.803350083752093547e-02
1.096869864346859541e-01 1.810720268006699857e-02
1.085237606634912727e-01 1.818090452261306167e-02
1.073570685122086782e-01 1.825460636515912477e-02
1.061870680362413250e-01 1.832830820770518787e-02
1.050139172909918678e-01 1.840201005025125444e-02
1.038377743318639329e-01 1.847571189279731754e-02
1.026587972142605082e-01 1.854941373534338064e-02
1.014771439935842207e-01 1.862311557788944721e-02
1.002929727252387243e-01 1.869681742043551032e-02
9.910644146462684045e-02 1.877051926298157342e-02
9.791770826715166798e-02 1.884422110552763652e-02
9.672693118821619473e-02 1.891792294807369962e-02
9.553426828322371389e-02 1.899162479061976272e-02
9.433987760757721330e-02 1.906532663316582582e-02
9.314391721667962531e-02 1.913902847571188892e-02
9.194654516593415983e-02 1.921273031825795202e-02
9.074791951074405449e-02 1.928643216080401512e-02
8.954819830651213064e-02 1.936013400335008169e-02
8.834753960864170919e-02 1.943383584589614479e-02
8.714610147253572248e-02 1.950753768844220790e-02
8.594404195359704735e-02 1.958123953098827447e-02
8.474151910722922676e-02 1.965494137353433757e-02
8.353869098883497102e-02 1.972864321608040067e-02
8.233571565381765656e-02 1.980234505862646377e-02
8.113275115758018796e-02 1.987604690117252687e-02
7.992995555552569187e-02 1.994974874371858997e-02
7.872748690305707286e-02 2.002345058626465307e-02
7.752550325557773514e-02 2.009715242881071617e-02
7.632416266849044451e-02 2.017085427135677927e-02
7.512362319719857739e-02 2.024455611390284238e-02
7.392404289710481635e-02 2.031825795644890895e-02
7.272557982361275986e-02 2.039195979899497205e-02
7.152839203212506269e-02 2.046566164154103515e-02
7.033263757804501803e-02 2.053936348408710172e-02
6.913847451677564149e-02 2.061306532663316482e-02
6.794606090372019847e-02 2.068676716917922792e-02
6.675555479428128824e-02 2.076046901172529102e-02
6.556711424386248155e-02 2.083417085427135412e-02
6.438089730786682174e-02 2.090787269681741722e-02
6.319706204169699137e-02 2.098157453936348033e-02
6.201576650075647790e-02 2.105527638190954343e-02
6.083716874044824141e-02 2.112897822445560653e-02
5.966142681617549182e-02 2.120268006700166963e-02
5.848869878334091166e-02 2.127638190954773620e-02
5.731914269734796064e-02 2.135008375209379930e-02
5.615291661359959885e-02 2.142378559463986240e-02
5.499017858749881416e-02 2.149748743718592897e-02
5.383108667444903850e-02 2.157118927973199207e-02
5.267579892985295442e-02 2.164489112227805517e-02
5.152447340911379958e-02 2.171859296482411827e-02
5.037726816763467286e-02 2.179229480737018138e-02
4.923434126081858986e-02 2.186599664991624448e-02
4.809585074406870497e-02 2.193969849246230758e-02
4.696195467278806157e-02 2.201340033500837068e-02
4.583281110237961975e-02 2.208710217755443378e-02
4.470857808824672819e-02 2.216080402010049688e-02
4.358941368579237474e-02 2.223450586264656345e-02
4.247547595041940849e-02 2.230820770519262655e-02
4.136692293753126137e-02 2.238190954773868965e-02
4.026391270253086574e-02 2.245561139028475275e-02
3.916660330082115393e-02 2.252931323283081932e-02
3.807515278780547463e-02 2.260301507537688243e-02
3.698971921888681569e-02 2.267671691792294553e-02
3.591046064946805394e-02 2.275041876046900863e-02
3.483753513495245480e-02 2.282412060301507173e-02
3.377110073074325591e-02 2.289782244556113483e-02
3.271131549224319535e-02 2.297152428810719793e-02
3.165833747485570504e-02 2.304522613065326103e-02
3.061232473398371734e-02 2.311892797319932413e-02
2.957343532503013683e-02 2.319262981574539070e-02
2.854182730339820118e-02 2.326633165829145380e-02
2.751765872449114803e-02 2.334003350083751691e-02
2.650108764371190972e-02 2.341373534338358001e-02
2.549227211646325209e-02 2.348743718592964658e-02
2.449137019814888461e-02 2.356113902847570968e-02
2.349853994417160086e-02 2.363484087102177278e-02
2.251393940993424991e-02 2.370854271356783588e-02
2.153772665084031923e-02 2.378224455611389898e-02
2.057005972229251911e-02 2.385594639865996208e-02
1.961109667969393455e-02 2.392964824120602518e-02
1.866099557844816403e-02 2.400335008375208828e-02
1.771991447395777908e-02 2.407705192629815139e-02
1.678801142162585081e-02 2.415075376884421449e-02
1.586544447685599157e-02 2.422445561139028106e-02
1.495237169505092556e-02 2.429815745393634416e-02
1.404895113161339082e-02 2.437185929648240726e-02
1.315534084194701359e-02 2.444556113902847383e-02
1.227169888145483723e-02 2.451926298157453693e-02
1.139818330553943326e-02 2.459296482412060003e-02
1.053495216960441405e-02 2.466666666666666313e-02
